episode_id,anchor_label,approved_quote,quote_word_count,relevant_element,recommended_public_location,why_this_quote_helps,public_note
3.11,Persistence of vision,"love something like the persistence of vision, for They have used it to create for him the moving image of a daughter",22,P04/M03,Episode detail panel,The daughter as cinematic illusion — one frame per summer; love as the projector mechanism.,Film/body mode literalised through family loss.
3.11,The other side of this,"All his vacuums, his labyrinths, had been the other side of this",12,P04,Episode detail panel,Engineering vocabulary revealed as always structurally adjacent to atrocity — oblique and devastating.,The moment of recognition at Dora.
3.22,Restore us to our Earth,"Somewhere, among the wastes of the World, is the key that will bring us back, restore us to our Earth and to our freedom.",24,P03/M08,Episode detail panel,The counter-text as messianic search — recovery of territory and ontological standing.,The Schwarzkommando search-thesis distilled.
3.22,Weissmann's Dictaphone,"I know what my voice sounds like—heard it at Peenemünde years ago on Weissmann's Dictaphone",16,P03/colonial_genocide,Episode detail panel,Colonial history returning through the coloniser's apparatus — Enzian's voice captured at the rocket facility.,The colonial record inside the rocket programme.
3.22,Doctrine of the Final Zero,"there'll have to be something done about Ombindi, Empty Ones, doctrine of the Final Zero",15,P03/species_extinction,Episode detail panel,Names the factional divide directly — 00001 counter-text vs Final Zero self-extinction.,The internal Schwarzkommando debate.
3.29,Corporate City-state,"a Corporate City-state where technology was the source of power, the engineer worked closely with the administrator",17,P04/M06,Episode detail panel,Metropolis as the fantasy-template that Peenemünde and Mittelwerke will realise.,Film as blueprint for technocratic complicity.
3.29,Toward the inorganic,"move beyond life, toward the inorganic. Here is no frailty, no mortality—here is Strength, and the Timeless",18,P04/M06,Episode detail panel,Jamf converts chemistry into transcendence-rhetoric — the ideological seed of the entire technical programme.,Chemistry as ideology.
3.29,Dramatic connections in dreams,"How could he tell her that the dramatic connections were really all there, in his dreams? How could he tell her anything?",22,P04/M03,Episode detail panel,The marriage fractures because the engineer's inner life is already cinematic — domestic speech fails.,The first irreversible stage of family loss.
4.05,Of course it happened,"Of course it happened. Of course it didn't happen.",9,P02/M07,Episode detail panel,Epistemological impossibility — sacrifice as simultaneously fact and unintegratable event.,The novel's central paradox in nine words.
4.05,Solid arrival of loss,"the sudden, solid arrival of loss, loss forever, the irreversible end of love, of hope",15,P02/M07,Episode detail panel,Irreversibility as physical sensation — loss given mass and weight.,The sacrificial break as embodied event.
4.05,Only have fragments,"Whatever went on on those eyeballs when you weren't looking would just be lost. You'd only have fragments",18,P02/M07,Episode detail panel,Meta-textual: the central event recoverable only as shards — a statement about the novel's own epistemic condition.,The witness can retain only fragments.
4.05,Inside the Oven's warmth,"He only wants now to be out of the winter, inside the Oven's warmth, darkness, steel shelter",16,P02,Episode detail panel,Blicero's death-drive inverts the fairy-tale threat — the Oven becomes consummation. Echoes back to 1.14's fairy-tale template.,Cross-episode echo: 1.14 Maerchen fulfilled in 4.05 launch.
4.06,Late American scatter,"This is only one of many American Mysteries",8,P01/M08,Episode detail panel,Marks the late Part IV scatter as a chain of American fragments.,Frames the late scatter as one among many unresolved fragments.
4.12,Final descent,"The two, boy and Rocket, concurrently designed.",7,P02,Episode detail panel,Compact terminal anchor binding human body and Rocket design in one sentence.,Body and Rocket as concurrent design.
4.12,Screen is a dim page,"The screen is a dim page spread before us, white and silent. The film has broken, or a projector bulb has burned out.",23,P08/M03,Episode detail panel,Screen becomes page — cinema collapses into text at the novel's close; the reader becomes the final audience.,The theatre as reading space.
4.12,Last delta-t,"absolutely and forever without sound, reaches its last unmeasurable gap above the roof of this old theatre, the last delta-t",20,P02/M07,Episode detail panel,The parabola frozen — infinite proximity without contact; annihilation suspended as permanent present tense.,The rocket suspended above the audience.
4.12,Touch the person next to you,"There is time, if you need the comfort, to touch the person next to you, or to reach between your own cold legs",23,M07/M08,Episode detail panel,Narrator addresses the audience directly — reader and theatre-goer become one preterite congregation awaiting descent.,The final direct address to the reader.
